Plotname;Plotid;Status;Location;Longitude;Latitude;utm_x;utm_y
HEG01;H4580;VIP;Grassland;10.4053629104;50.9716483376;598671.800004072;5647612.23279299
HEG02;H8302;VIP;Grassland;10.4300100103;51.0007489248;600339.456813203;5650881.38016896
HEG03;H8709;VIP;Grassland;10.4329488763;50.9980914934;600551.403704249;5650589.88747223
HEG04;H20510;VIP;Grassland;10.4361803786;51.113362352;600528.211047709;5663412.13683913
HEG05;H20816;VIP;Grassland;10.322526719;51.2158944134;592368.076239815;5674664.66571411
HEG06;H30409;VIP;Grassland;10.3912208733;51.2149350553;597167.644366652;5674646.56521538
HEG07;H12850;VIP;Grassland;10.4104125695;51.2735825557;598382.782965476;5681193.78668468
HEG08;H14707;VIP;Grassland;10.4179445812;51.2712574671;598913.145160816;5680945.35139036
HEG09;H30212;VIP;Grassland;10.3807872979;51.2238973736;596420.231257333;5675629.44130262
HEG10;H22151;EP;Grassland;10.4467607106;51.2751490188;600914.686106293;5681417.30634508
HEG11;H24761;EP;Grassland;10.4561779278;51.2806670523;601559.357140873;5682043.90331962
HEG12;H20116;EP;Grassland;10.5758197075;51.0772200104;610388.075553273;5659593.241631
HEG13;H4651;EP;Grassland;10.3799460956;51.2596811245;596286.744488162;5679607.54312824
HEG14;H19568;EP;Grassland;10.4357998366;51.2940601984;600109.048669298;5683505.25407799
HEG15;H16781;EP;Grassland;10.4862323114;51.0680130317;604133.33857571;5658438.95902099
HEG16;H12643;EP;Grassland;10.4588433406;51.0334951155;602290.430113725;5654562.29023192
HEG17;H14529;EP;Grassland;10.4704560664;51.070504549;603022.489687339;5658693.81942644
HEG18;H16581;EP;Grassland;10.4246855814;51.2836635589;599356.594886136;5682334.03071259
HEG19;H20606;EP;Grassland;10.4732197941;51.0732375079;603210.031794365;5659001.58760156
HEG20;H30205;EP;Grassland;10.370980806;51.2210645074;595741.350590627;5675301.60130574
HEG21;H30909;EP;Grassland;10.7525686959;51.1907043424;622468.155792887;5672492.01936162
HEG22;H37447;EP;Grassland;10.3249271584;51.0307536694;592906.411721071;5654080.06121417
HEG23;H20426;EP;Grassland;10.3381864542;51.1343049651;593626.858812462;5665611.66312219
HEG24;H20438;EP;Grassland;10.3512145548;51.101066362;594606.206429585;5661932.20623439
HEG25;H37029;EP;Grassland;10.322341733;51.0233900146;592739.818089865;5653257.97976741
HEG26;H2815;EP;Grassland;10.3717252509;51.281500899;595667.826904206;5682023.20165976
HEG27;H20121;EP;Grassland;10.5969886442;51.0864472749;611848.648517129;5660651.22901765
HEG28;H20535;EP;Grassland;10.4969215328;51.265906526;604434.294504174;5680459.66668281
HEG29;H20537;EP;Grassland;10.4984272508;51.2641100338;604543.413622192;5680262.03795907
HEG30;H20825;EP;Grassland;10.3599108538;51.2018524729;595007.852498571;5673150.83740877
HEG31;H20003;EP;Grassland;10.2211956781;51.1703585041;585375.256490605;5669478.50043746
HEG32;H20106;EP;Grassland;10.5676100811;51.075510637;609817.058380178;5659390.88939213
HEG33;H20508;EP;Grassland;10.4259631657;51.1114363932;599817.218483248;5663184.06625833
HEG34;H30402;EP;Grassland;10.3869351606;51.2142917637;596869.678074662;5674569.37295434
HEG35;H30417;EP;Grassland;10.4111191881;51.219827364;598546.904421785;5675217.09027987
HEG36;H20241;EP;Grassland;10.510233429;51.0314465615;605898.272617063;5654407.1023165
HEG37;H20245;EP;Grassland;10.5144943419;51.032390748;606194.877146417;5654518.22513608
HEG38;H20433;EP;Grassland;10.3415352077;51.1162026908;593897.84687633;5663602.9617427
HEG39;H20436;EP;Grassland;10.3462476695;51.1202248042;594219.490498592;5664056.24209071
HEG40;H30615;EP;Grassland;10.4468140957;50.9668129807;601592.548584875;5647130.84242374
HEG41;H888;EP;Grassland;10.3669167564;51.221025855;595457.632456575;5675292.01609011
HEG42;H13708;EP;Grassland;10.4647839624;51.0694413682;602627.462922749;5658567.6763688
HEG43;H19577;EP;Grassland;10.4358178074;51.3019709052;600093.094111207;5684384.96413911
HEG44;H20215;EP;Grassland;10.4796324688;51.0551983135;603699.569421902;5657004.68645701
HEG45;H20258;EP;Grassland;10.5085340367;51.0395333994;605760.7032349;5655303.88869036
HEG46;H30915;EP;Grassland;10.7535482021;51.2068950614;622493.644067881;5674294.00198513
HEG47;H2818;EP;Grassland;10.3719165024;51.2842003328;595675.555499884;5682323.63405845
HEG48;H5053;EP;Grassland;10.3801379532;51.286831328;596243.384102947;5682626.95220971
HEG49;H8020;EP;Grassland;10.3918830227;51.2789028874;597079.101794314;5681760.75526043
HEG50;H15457;EP;Grassland;10.4207739499;51.2765094035;599099.207351282;5681533.19010949
HEW01;H274;VIP;Forest;10.3236211079;51.185355081;592505.660731049;5671270.02925416
HEW02;H301;VIP;Forest;10.369953938;51.2100112945;595692.556147286;5674071.13467663
HEW03;H303;VIP;Forest;10.3107384563;51.2716477029;591434.166827451;5680849.80266812
HEW04;H307;VIP;Forest;10.5333275422;51.369481558;606733.398066841;5692029.73398171
HEW05;H154;VIP;Forest;10.2409578716;51.2638781296;586581.199539499;5679901.22962314
HEW06;H150;VIP;Forest;10.2393782624;51.2677198313;586463.78477947;5680326.57831211
HEW07;H71011;VIP;Forest;10.3854488723;51.131092424;596940.18952104;5665315.63516416
HEW08;H311;VIP;Forest;10.5169674116;51.3557921769;605626.134062948;5690483.76006283
HEW09;H71310;VIP;Forest;10.3811496502;51.1302419298;596641.159595614;5665215.40520812
HEW10;H1363;VIP;Forest;10.4624338733;51.0899873483;602417.435886723;5660849.06969315
HEW11;H8568;VIP;Forest;10.400854322;51.1028344425;598077.883458762;5662193.78552797
HEW12;H22701;VIP;Forest;10.4551829807;51.1006881001;601886.140366543;5662028.91032092
HEW13;H302;EP;Forest;10.3129467075;51.2426439614;591645.859388192;5677627.26899799
HEW14;H306;EP;Forest;10.2581516944;51.366163944;587585.762169628;5691296.22731718
HEW15;H87;EP;Forest;10.390161909;51.2050771735;597114.420893178;5673548.96145626
HEW16;H58;EP;Forest;10.3654658654;51.1831603571;595434.537075926;5671079.45542671
HEW17;H130;EP;Forest;10.2269038462;51.282813576;585565.505619158;5681990.44317381
HEW18;H637;EP;Forest;10.3654559913;51.3369669282;595115.855022;5688183.03053683
HEW19;H32;EP;Forest;10.3377262691;51.1992291968;593463.333993443;5672830.68599067
HEW20;H548;EP;Forest;10.3602545497;51.3339278121;594759.810448805;5687838.34014164
HEW21;H20;EP;Forest;10.3190053755;51.1942782958;592165.284029655;5672256.50340935
HEW22;H551;EP;Forest;10.3592785389;51.3371502544;594685.181838559;5688195.42643814
HEW23;H104;EP;Forest;10.2084480501;51.2782177401;584286.832976059;5681458.02307952
HEW24;H300;EP;Forest;10.4912116326;51.0465026853;604530.629240678;5656054.12578991
HEW25;H304;EP;Forest;10.2239693692;51.2845669846;585357.608490041;5682182.01308889
HEW26;H313;EP;Forest;10.5130315249;51.3443262423;605378.394915029;5689203.06464125
HEW27;H310;EP;Forest;10.521263964;51.3561161433;605924.539488295;5690525.98211981
HEW28;H308;EP;Forest;10.526917886;51.358884052;606311.789394509;5690841.95956752
HEW29;H71407;EP;Forest;10.3796868348;51.1275428161;596544.436392272;5664913.34502592
HEW30;H71515;EP;Forest;10.3786368177;51.134683874;596456.08451047;5665706.04976896
HEW31;H71623;EP;Forest;10.3773142326;51.1422526286;596347.796886688;5666545.95935918
HEW32;H72920;EP;Forest;10.3585903186;51.1395282849;595043.642770186;5666218.65749224
HEW33;H38964;EP;Forest;10.5088148513;51.3415759448;605091.02104839;5688891.17745151
HEW34;H1192;EP;Forest;10.4542735979;51.0847108328;601857.570265034;5660251.01146679
HEW35;H9686;EP;Forest;10.4050739485;51.1046899612;598369.360494186;5662405.74773158
HEW36;H10804;EP;Forest;10.4093031658;51.106275772;598662.0593179;5662587.74846098
HEW37;H12905;EP;Forest;10.4586076362;51.0844264448;602161.739821816;5660225.3930415
HEW38;H13104;EP;Forest;10.4601745431;51.0793590584;602282.657268965;5659664.08637585
HEW39;H13939;EP;Forest;10.4658614642;51.0929539322;602650.897831602;5661183.72148178
HEW40;H18639;EP;Forest;10.4982588767;51.0799442764;604948.94763792;5659782.7552903
HEW41;H22709;EP;Forest;10.4549374111;51.1080561853;601852.7512569;5662847.88842943
HEW42;H23819;EP;Forest;10.4598259195;51.1027539809;602206.64955632;5662265.069215
HEW43;H531;EP;Forest;10.3580238771;51.3320987308;594608.185698041;5687632.06159936
HEW44;H674;EP;Forest;10.3680124678;51.3336765716;595300.751145092;5687820.44957581
HEW45;H305;EP;Forest;10.2611071882;51.3639605292;587795.714039178;5691054.73071073
HEW46;H238;EP;Forest;10.475472469;51.0480963843;603423.850187163;5656209.12412874
HEW47;H68;EP;Forest;10.3783438672;51.1789347352;596343.372817181;5670626.35901616
HEW48;H70517;EP;Forest;10.393698314;51.1366895595;597505.590680842;5665948.93423045
HEW49;H71125;EP;Forest;10.3845393934;51.1436471085;596850.282062166;5666710.51234845
HEW50;H12504;EP;Forest;10.4554452066;51.0928168175;601921.805891178;5661154.00178668
